,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,0.9662594660704618,,,,,,0.9509497698405446,-0.8382186062377991,-0.8367650195710067,,,,,,,,,,,,,,,,,,,
1,0.9662594660704618,,,,,,,0.9417906662971763,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.9379508535585653,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.9379508535585653,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.9509497698405446,0.9417906662971763,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-0.8382186062377991,,,,,,,,,0.8921834049318047,,,,,,,,,,,,,,,,,,,
9,-0.8367650195710067,,,,,,,,0.8921834049318047,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,0.9140299940336767,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,0.9140299940336767,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8797080952277443,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,-0.8797080952277443,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
