,MangaName
0,AisazuNihaIrarenai
1,AkkeraKanjinchou
2,Akuhamu
3,AosugiruHaru
4,AppareKappore
5,Arisa
6,ARMS
7,BakuretsuKungFuGirl
8,Belmondo
9,BEMADER_P
10,BokuHaSitatakaKun
11,BurariTessenTorimonocho
12,ByebyeC-BOY
13,Count3DeKimeteAgeru
14,DollGun
15,Donburakokko
16,DualJustice
17,EienNoWith
18,EvaLady
19,EverydayOsakanaChan
20,GakuenNoise
21,GarakutayaManta
22,GinNoChimera
23,GOOD_KISS_Ver2
24,Hamlet
25,HanzaiKousyouninMinegishiEitarou
26,HaruichibanNoFukukoro
27,HarukaRefrain
28,HealingPlanet
29,HeiseiJimen
30,HighschoolKimengumi_vol01
31,HighschoolKimengumi_vol20
32,HinagikuKenzan
33,HisokaReturns
34,JangiriPonpon
35,JijiBabaFight
36,Joouari
37,Jyovolley
38,KarappoHighschool
39,KimiHaBokuNoTaiyouDa
40,KoukouNoHitotachi
41,KuroidoGanka
42,KyokugenCyclone
43,LancelotFullThrottle
44,LoveHina_vol01
45,LoveHina_vol14
46,MadouTaiga
47,MAD_STONE
48,MagicianLoad
49,MagicStarGakuin
50,MariaSamaNihaNaisyo
51,MayaNoAkaiKutsu
52,MemorySeijin
53,MeteoSanStrikeDesu
54,MiraiSan
55,MisutenaideDaisy
56,MoeruOnisan_vol01
57,MoeruOnisan_vol19
58,MomoyamaHaikagura
59,MukoukizuNoChonbo
60,MutekiBoukenSyakuma
61,Nekodama
62,NichijouSoup
63,Ningyoushi
64,OhWareraRettouSeitokai
65,OL_Lunch
66,ParaisoRoad
67,PikaruGenkiDesu
68,PLANET7
69,PlatinumJungle
70,PrayerHaNemurenai
71,PrismHeart
72,PsychoStaff
73,Raphael
74,ReveryEarth
75,RinToSiteSippuNoNaka
76,RisingGirl
77,Saisoku
78,SaladDays_vol01
79,SaladDays_vol18
80,SamayoeruSyonenNiJunaiWo
81,SeisinkiVulnus
82,ShimatteIkouze_vol01
83,ShimatteIkouze_vol26
84,SonokiDeABC
85,SyabondamaKieta
86,TaiyouNiSmash
87,TapkunNoTanteisitsu
88,TasogareTsushin
89,TennenSenshiG
90,TensiNoHaneToAkumaNoShippo
91,TetsuSan
92,That'sIzumiko
93,TotteokiNoABC
94,ToutaMairimasu
95,TouyouKidan
96,TsubasaNoKioku
97,UchiNoNyan'sDiary
98,UchuKigekiM774
99,UltraEleven
100,UnbalanceTokyo
101,WarewareHaOniDearu
102,YamatoNoHane
103,YasasiiAkuma
104,YouchienBoueigumi
105,YoumaKourin
106,YukiNoFuruMachi
107,YumeiroCooking
108,YumeNoKayoiji
